domain	source	case	B_score	title
3D/4D视觉与重建	eval_qwen36_code_raw_vs_paperdraft_v3	OccAny - Generalized Unconstrained Urban 3D Occupancy	4.8	OccAny - Generalized Unconstrained Urban 3D Occupancy
3D/4D视觉与重建	eval_qwen36_code_raw_vs_paperdraft_v3	3DThinker - Think with 3D: Geometric Imagination Grounded Spatial Reasoning from Limited Views	4.62	3DThinker - Think with 3D: Geometric Imagination Grounded Spatial Reasoning from Limited Views
3D/4D视觉与重建	eval_qwen36_part07_batch1	38_Exploring_the_Potential_of_Encoder-free_Architectures_in_3D_LMMs	4.62	Exploring the Potential of Encoder-free Architectures in 3D LMMs
3D/4D视觉与重建	eval_qwen36_code_raw_vs_paperdraft_v3	InvAD - Inversion-based Reconstruction-Free Anomaly Detection with Diffusion Models	4.62	InvAD - Inversion-based Reconstruction-Free Anomaly Detection with Diffusion Models
3D/4D视觉与重建	eval_qwen36_code_raw_vs_paperdraft_v3	LaS-Comp - Zero-shot 3D Completion with Latent-Spatial Consistency	4.62	LaS-Comp - Zero-shot 3D Completion with Latent-Spatial Consistency
3D/4D视觉与重建	eval_qwen36_code_raw_vs_paperdraft_v3	NeoVerse - Enhancing 4D World Model with In-the-Wild Monocular Videos	4.62	NeoVerse - Enhancing 4D World Model with In-the-Wild Monocular Videos
3D/4D视觉与重建	eval_qwen36_code_raw_vs_paperdraft_v3	Voxify3D - Pixel Art Meets Volumetric Rendering	4.62	Voxify3D - Pixel Art Meets Volumetric Rendering
3D/4D视觉与重建	eval_qwen36_code_raw_vs_paperdraft_v3	3DGen-R1 - Are We Ready for RL in Text-to-3D Generation?	4.42	3DGen-R1 - Are We Ready for RL in Text-to-3D Generation?
3D/4D视觉与重建	eval_qwen36_code_raw_vs_paperdraft_v3	Rewis3d - Reconstruction for Weakly-Supervised Semantic Segmentation	4.42	Rewis3d - Reconstruction for Weakly-Supervised Semantic Segmentation
3D/4D视觉与重建	eval_qwen36_part07_batch2	88_YoNoSplat_-_You_Only_Need_One_Model_for_Feedforward_3D_Gaussian_Splatting	4.42	YoNoSplat - You Only Need One Model for Feedforward 3D Gaussian Splatting
3D/4D视觉与重建	eval_qwen36_part07_batch2	56_Lyra_-_Generative_3D_Scene_Reconstruction_via_Video_Diffusion_Model_Self-Distillation	4.14	Lyra - Generative 3D Scene Reconstruction via Video Diffusion Model Self-Distillation
AI for Science/生物医药	eval_qwen36_part07_batch2	70_SYNC_-_Measuring_and_Advancing_Synthesizability_in_Structure-Based_Drug_Design	4.8	SYNC - Measuring and Advancing Synthesizability in Structure-Based Drug Design
AI for Science/生物医药	eval_qwen36_part07_batch2	60_OmniMouse_-_Scaling_properties_of_multi-modal__multi-task_Brain_Models_on_150B_Neural_Tokens	4.42	OmniMouse - Scaling properties of multi-modal multi-task Brain Models on 150B Neural Tokens
其他	eval_qwen36_part07_batch1	08_Any-step_Generation_via_N-th_Order_Recursive_Consistent_Velocity_Field_Estimation	6.0	Any-step Generation via N-th Order Recursive Consistent Velocity Field Estimation
其他	eval_qwen36_part07_batch1	28_Deep_Think_with_Confidence	6.0	Deep Think with Confidence
其他	eval_qwen36_code_raw_vs_paperdraft_v3	LitePT - Lighter Yet Stronger Point Transformer	5.82	LitePT - Lighter Yet Stronger Point Transformer
其他	eval_qwen36_part07_batch2	76_TSPulse_-_Tiny_Pre-Trained_Models_with_Disentangled_Representations_for_Rapid_Time-Series_Analysis	5.8	TSPulse - Tiny Pre-Trained Models with Disentangled Representations for Rapid Time-Series Analysis
其他	eval_qwen36_code_raw_vs_paperdraft_v3	SimScale - Learning to Simulate at Scale	5.0	SimScale - Learning to Simulate at Scale
其他	eval_qwen36_code_raw_vs_paperdraft_v3	ApET - Approximation-Error Guided Token Compression for Efficient VLMs	4.62	ApET - Approximation-Error Guided Token Compression for Efficient VLMs
其他	eval_qwen36_code_raw_vs_paperdraft_v3	SEATrack - Simple, Efficient, and Adaptive Multimodal Tracker	4.62	SEATrack - Simple, Efficient, and Adaptive Multimodal Tracker
其他	eval_qwen36_code_raw_vs_paperdraft_v3	StyleExpert	4.62	StyleExpert
其他	eval_qwen36_part07_batch1	20_CodeQuant_-_Unified_Clustering_and_Quantization_for_Enhanced_Outlier_Smoothing_in_Low-Precision_Mixture-of-Experts	4.52	CodeQuant - Unified Clustering and Quantization for Enhanced Outlier Smoothing in Low-Precision Mixture-of-Experts
其他	eval_qwen36_code_raw_vs_paperdraft_v3	F2DC - Domain-Skewed Federated Learning with Feature Decoupling and Calibration	4.44	F2DC - Domain-Skewed Federated Learning with Feature Decoupling and Calibration
其他	eval_qwen36_code_raw_vs_paperdraft_v3	MoVieS	4.44	MoVieS
其他	eval_qwen36_code_raw_vs_paperdraft_v3	UPLiFT - Universal Pixel-dense Lightweight Feature Transforms _ Efficient Pixel-Dense Feature Upsampling with Local Attenders	4.42	UPLiFT - Universal Pixel-dense Lightweight Feature Transforms Efficient Pixel-Dense Feature Upsampling with Local Attenders
其他	eval_qwen36_code_raw_vs_paperdraft_v3	PF-RPN	4.32	PF-RPN
其他	eval_qwen36_code_raw_vs_paperdraft_v3	One-to-All Animation	4.04	One-to-All Animation
其他	eval_qwen36_code_raw_vs_paperdraft_v3	LMEE _ MemoryExplorer - Explore with Long-term Memory	4.02	LMEE MemoryExplorer - Explore with Long-term Memory
其他	eval_qwen36_code_raw_vs_paperdraft_v3	Mobile-VTON - High-Fidelity On-Device Virtual Try-On	3.74	Mobile-VTON - High-Fidelity On-Device Virtual Try-On
其他	eval_qwen36_code_raw_vs_paperdraft_v3	ProM3E - Probabilistic Multi-Modal Masked Embedding Model	3.54	ProM3E - Probabilistic Multi-Modal Masked Embedding Model
大语言模型与智能体	eval_qwen36_part07_batch1	06_AgentSynth_-_Scalable_Task_Generation_for_Generalist_Computer-Use_Agents	6.0	AgentSynth - Scalable Task Generation for Generalist Computer-Use Agents
大语言模型与智能体	eval_qwen36_part07_batch1	43_GEPA_-_Reflective_Prompt_Evolution_Can_Outperform_Reinforcement_Learning	6.0	GEPA - Reflective Prompt Evolution Can Outperform Reinforcement Learning
大语言模型与智能体	eval_qwen36_part07_batch2	78_Toward_Faithful_Retrieval-Augmented_Generation_with_Sparse_Autoencoders	6.0	Toward Faithful Retrieval-Augmented Generation with Sparse Autoencoders
大语言模型与智能体	eval_qwen36_part07_batch1	26_CrossPL_-_Systematic_Evaluation_of_Large_Language_Models_for_Cross_Programming_Language_Interoperating_Code_Generation	5.44	CrossPL - Systematic Evaluation of Large Language Models for Cross Programming Language Interoperating Code Generation
大语言模型与智能体	eval_qwen36_code_raw_vs_paperdraft_v3	IsoCLIP - Decomposing CLIP Projectors for Efficient Intra-modal Alignment	4.82	IsoCLIP - Decomposing CLIP Projectors for Efficient Intra-modal Alignment
大语言模型与智能体	eval_qwen36_part07_batch1	16_Better_Together_-_Leveraging_Unpaired_Multimodal_Data_for_Stronger_Unimodal_Models	4.8	Better Together - Leveraging Unpaired Multimodal Data for Stronger Unimodal Models
